Category,Name,ExportStatus,Notes,Power,HP,ATK,DEF,Role,Element
Master,Death_Jinook,Exported - clean / ship-ready,,,,,,,
Master,Maenak,Exported - clean / ship-ready,,,,,,,
Master,Maple,Exported - clean / ship-ready,,,,,,,
Master,Purin,Exported - clean / ship-ready,,,,,,,
Master,Blis,Exported - clean / ship-ready,,,,,,,
Master,MrBen,Exported - clean / ship-ready,,,,,,,
Master,Bellbird,Exported - scale-normalized (special rig),,,,,,,
Master,Amy,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Camila,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Dochi,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Gato,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Iskall,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Jake,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Jiyeon,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Lu,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Mara,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Parma,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Ruber,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Shaiya,"Exported - STATIC (T-pose, no anim source) - needs Max re-export",,,,,,,
Master,Agena,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Baron,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Chad,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,ChenChen,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Choco,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Cor,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Doto,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Gwen,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Hongpa,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Joel,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Joostar,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Karen,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
