#,Pet Name,Model File,Folder,Status,Battle-Ready,Flying,Anim Clips
1,Diloom,1_Diloom.glb,pets/,3D Rigged,Yes,No,16
2,Dynamouse,2_Dynamouse.glb,pets/,3D Rigged,Yes,No,16
3,Nageel,3_Nageel.glb,pets/,3D Rigged,Yes,No,16
4,Eekape,4_Eekape.glb,pets/,3D Rigged,Yes,No,16
5,Palytid,5_Palytid.glb,pets/,3D Rigged,Yes,No,16
6,Mianari,6_Mianari.glb,pets/,3D Rigged,Yes,No,16
7,Berrball,7_Berrball.glb,pets/,3D Rigged,Yes,Yes,17
8,Cesstoid,8_Cesstoid.glb,pets/,3D Rigged,Yes,No,16
9,Mizumi,9_Mizumi.glb,pets/,3D Rigged,Yes,No,16
10,Chulember,10_Chulember.glb,pets/,3D Rigged,Yes,No,16
11,Geckno,11_Geckno.glb,pets/,3D Rigged,Yes,No,16
12,Blockid,12_Blockid.glb,pets/,3D Rigged,Yes,No,16
13,Thermolophus,13_Thermolophus.glb,pets/,3D Rigged,Yes,No,16
14,Keradon,14_Keradon.glb,pets/,3D Rigged,Yes,Yes,17
15,Vermillios,15_Vermillios.glb,pets/,3D Rigged,Yes,No,16
16,Vivorin,16_Vivorin.glb,pets/,3D Rigged,Yes,Yes,17
17,Windora,17_Windora.glb,pets/,3D Rigged,Yes,Yes,17
18,Geenee,18_Geenee.glb,pets/,3D Rigged,Yes,No,16
19,Quillster,19_Quillster.glb,pets/,3D Rigged,Yes,No,16
20,Baulder,20_Baulder.glb,pets/,3D Rigged,Yes,No,16
22,Vibe,22_Vibe.glb,pets/,3D Rigged,Yes,Yes,17
23,Swifty,23_Swifty.glb,pets/,3D Rigged,Yes,No,16
24,Pangrass,24_Pangrass.glb,pets/,3D Rigged,Yes,No,16
25,Mintol,25_Mintol.glb,pets/,3D Rigged,Yes,No,16
26,Omnom,26_Omnom.glb,pets/,3D Rigged,Yes,Yes,17
27,Kyari,27_Kyari.glb,pets/,3D Rigged,No (cosmetic),No,10
28,Lectrobe,28_Lectrobe.glb,pets/,3D Rigged,Yes,No,16
29,Mirrie,29_Mirrie.glb,pets/,3D Rigged,Yes,No,16
30,Cobrus,30_Cobrus.glb,pets/,3D Rigged,No (cosmetic),Yes,11
31,Lollipunch,31_Lollipunch.glb,pets/,3D Rigged,Yes,No,16
32,Odwing,32_Odwing.glb,pets/,3D Rigged,Yes,No,16
33,Tygloo,33_Tygloo.glb,pets/,3D Rigged,Yes,No,16
34,Pudde,34_Pudde.glb,pets/,3D Rigged,Yes,No,16
35,Mushmite,35_Mushmite.glb,pets/,3D Rigged,Yes,No,16
36,Polynimo,36_Polynimo.glb,pets/,3D Rigged,Yes,Yes,17
37,Fuirrel,37_Fuirrel.glb,pets/,3D Rigged,Yes,No,16
38,Dillow,38_Dillow.glb,pets/,3D Rigged,Yes,No,12
39,Pyrode,39_Pyrode.glb,pets/,3D Rigged,Yes,No,13
40,Moranagi,40_Moranagi.glb,pets/,3D Rigged,Yes,No,12
41,Moldec,41_Moldec.glb,pets/,3D Rigged,Yes,No,12
42,Oculid,42_Oculid.glb,pets/,3D Rigged,Yes,No,12
43,Surinari,43_Surinari.glb,pets/,3D Rigged,Yes,No,12
44,Silvyx,44_Silvyx.glb,pets/,3D Rigged,Yes,Yes,13
45,Coronoid,45_Coronoid.glb,pets/,3D Rigged,Yes,No,13
46,Watadzumi,46_Watadzumi.glb,pets/,3D Rigged,Yes,No,13
47,Fuenago,47_Fuenago.glb,pets/,3D Rigged,Yes,No,13
48,Geckelic,48_Geckelic.glb,pets/,3D Rigged,Yes,No,11
49,Blockall,49_Blockall.glb,pets/,3D Rigged,Yes,No,11
50,Geerex,50_Geerex.glb,pets/,3D Rigged,Yes,No,13
51,Dredrock,51_Dredrock.glb,pets/,3D Rigged,Yes,No,12
52,Florost,52_Florost.glb,pets/,3D Rigged,Yes,No,13
53,Yumee,53_Yumee.glb,pets/,3D Rigged,Yes,No,12
54,Candeliria,54_Candeliria.glb,pets/,3D Rigged,Yes,No,12
55,Wrektric,55_Wrektric.glb,pets/,3D Rigged,Yes,No,12
56,Reflecter,56_Reflecter.glb,pets/,3D Rigged,Yes,No,13
57,Dracobra,57_Dracobra.glb,pets/,3D Rigged,Yes,Yes,13
58,Mawverize,58_Mawverize.glb,pets/,3D Rigged,Yes,No,12
59,Occlusk,59_Occlusk.glb,pets/,3D Rigged,Yes,No,13
60,Mechloo,60_Mechloo.glb,pets/,3D Rigged,Yes,No,11
61,Aquary,61_Aquary.glb,pets/,3D Rigged,Yes,No,13
62,Squake,62_Squake.glb,pets/,3D Rigged,Yes,No,13
72,Morinori,72_Morinori.glb,pets/,3D Rigged,Yes,No,16
73,Gremin,73_Gremin.glb,pets/,3D Rigged,Yes,Yes,17
74,Spoxin,74_Spoxin.glb,pets/,3D Rigged,Yes,No,16
75,Intelix,75_Intelix.glb,pets/,3D Rigged,Yes,No,11
77,Inkami,77_Inkami.glb,pets/,3D Rigged,Yes,Yes,17
78,Redhandit,78_Redhandit.glb,pets/,3D Rigged,Yes,No,16
79,Endorr,79_Endorr.glb,pets/,3D Rigged,Yes,No,16
80,Sonectid,80_Sonectid.glb,pets/,3D Rigged,Yes,No,16
81,Cryptise,81_Cryptise.glb,pets/,3D Rigged,Yes,Yes,17
90,Barkindle,90_Barkindle.glb,pets/,3D Rigged,Yes,No,16
93,Ruffski,93_Ruffski.glb,pets/,3D Rigged,Yes,No,16
97,Matara,97_Matara.glb,pets/,3D Rigged,Yes,No,16
99,Malakele,99_Malakele.glb,pets/,3D Rigged,Yes,No,16
101,Tebeno,101_Tebeno.glb,pets/,3D Rigged,Yes,Yes,17
103,Flaraton,103_Flaraton.glb,pets/,3D Rigged,Yes,No,16
106,Ekopi,106_Ekopi.glb,pets/,3D Rigged,Yes,No,16
116,Krubble,116_Krubble.glb,pets/,3D Rigged,Yes,No,16
119,Tipsillar,119_Tipsillar.glb,pets/,3D Rigged,Yes,No,16
122,Grubgas,122_Grubgas.glb,pets/,3D Rigged,Yes,No,16
125,Kelpony,125_Kelpony.glb,pets/,3D Rigged,Yes,No,16
128,Lemeeni,128_Lemeeni.glb,pets/,3D Rigged,Yes,No,16
131,Iquander,131_Iquander.glb,pets/,3D Rigged,Yes,No,16
134,Mindallion,134_Mindallion.glb,pets/,3D Rigged,Yes,No,16
136,Krakowee,136_Krakowee.glb,pets/,3D Rigged,Yes,No,16
138,Felistar,138_Felistar.glb,pets/,3D Rigged,Yes,No,16
140,Dusprite,140_Dusprite.glb,pets/,3D Rigged,Yes,No,16
142,Clothom,142_Clothom.glb,pets/,3D Rigged,Yes,Yes,17
144,Pistaccoul,144_Pistaccoul.glb,pets/,3D Rigged,Yes,No,16
146,Kikapole,146_Kikapole.glb,pets/,3D Rigged,Yes,No,16
148,Vexigon,148_Vexigon.glb,pets/,3D Rigged,Yes,No,16
151,Greipawn,151_Greipawn.glb,pets/,3D Rigged,Yes,No,16
153,Vernirox,153_Vernirox.glb,pets/,3D Rigged,Yes,No,16
154,Quadrossal,154_Quadrossal.glb,pets/,3D Rigged,Yes,No,16
155,Zedakazm,155_Zedakazm.glb,pets/,3D Rigged,Yes,Yes,17
156,Armadigoal,156_Armadigoal.glb,pets/,3D Rigged,Yes,No,16
159,Kyberra,159_Kyberra.glb,pets/,3D Rigged,Yes,No,16
161,Pigperus,161_Pigperus.glb,pets/,3D Rigged,Yes,No,16
163,Piggicius,163_Piggicius.glb,pets/,3D Rigged,Yes,No,16
166,Spoulder,166_Spoulder.glb,pets/,3D Rigged,Yes,No,15
168,Foxeez,168_Foxeez.glb,pets/,3D Rigged,Yes,No,16
170,Roichirp,170_Roichirp.glb,pets/,3D Rigged,Yes,Yes,17
173,Batflare,173_Batflare.glb,pets/,3D Rigged,Yes,Yes,16
176,Watuber,176_Watuber.glb,pets/,3D Rigged,Yes,No,16
179,Vaudequin,179_Vaudequin.glb,pets/,3D Rigged,Yes,No,16
180,Helichrome,180_Helichrome.glb,pets/,3D Rigged,Yes,No,16
183,Onchor,183_Onchor.glb,pets/,3D Rigged,Yes,No,16
186,Sully,186_Sully.glb,pets/,3D Rigged,Yes,No,16
189,Cannubis,189_Cannubis.glb,pets/,3D Rigged,Yes,No,16
192,Finray,192_Finray.glb,pets/,3D Rigged,No (cosmetic),Yes,11
196,Dorentu,196_Dorentu.glb,pets/,3D Rigged,Yes,No,15
198,Pricktile,198_Pricktile.glb,pets/,3D Rigged,No (cosmetic),Yes,11
200,Yarmeow,200_Yarmeow.glb,pets/,3D Rigged,No (cosmetic),No,10
202,Naviumi,202_Naviumi.glb,pets/,3D Rigged,No (cosmetic),No,10
218,Juphant,218_Juphant.glb,pets/,3D Rigged,Yes,Yes,17
221,Fauneek,221_Fauneek.glb,pets/,3D Rigged,Yes,No,16
224,Elekitt,224_Elekitt.glb,pets/,3D Rigged,Yes,No,15
227,Hambrisk,227_Hambrisk.glb,pets/,3D Rigged,Yes,No,15
229,Moonara,229_Moonara.glb,pets/,3D Rigged,Yes,No,15
231,Clawcount,231_Clawcount.glb,pets/,3D Rigged,Yes,No,16
233,Wallopop,233_Wallopop.glb,pets/,3D Rigged,Yes,No,15
235,Snobbit,235_Snobbit.glb,pets/,3D Rigged,Yes,No,15
237,Eriegle,237_Eriegle.glb,pets/,3D Rigged,Yes,Yes,16
240,Mytier,240_Mytier.glb,pets/,3D Rigged,Yes,No,15
