cf_name,slug,havana_master_id,element,home_zone,home_zone_name
Kuman,kuman,4033,Mystic,UW3,Luxuria
Bellbird,bellbird,2016,Flyer,HS1,Aeropolis
Maenak,maenak,4031,Phantom,UW2,Blackmere
Hongpa,hongpa,4030,Fire,HS2,Emberfall
Kinseri,kinseri,4013,Insect,ENT,Mythoria
Gato,gato,4025,Phantom,UW2,Blackmere
Jiyeon,jiyeon,4021,Telepath,EDU,Arcadia
Maple,maple,2017,Leaf,ENT,Mythoria
Baron,baron,4023,Combat,HUB,Tianxia
Death_Jinook,death_jinook,4010,Phantom,UW2,Blackmere
Blis,blis,4024,Toxin,BUS,Porthaven
Joostar,joostar,4012,Combat,HUB,Tianxia
Aiden,aiden,1002,Fire,HS2,Emberfall
Agena,agena,4017,Mystic,UW3,Luxuria
Dragon_Cho,dragon_cho,4011,Dragon,UW3,Luxuria
Amy,amy,4020,Leaf,ENT,Mythoria
MrBen,mrben,3008,Neutral,HUB,Tianxia
Gwen,gwen,1007,Ice,HS3,Empyrea
Jake,jake,4022,Flyer,HS1,Aeropolis
Iskall,iskall,4018,Ice,HS3,Empyrea
Lu,lu,4019,Water,BUS,Porthaven
Purin,purin,4014,Neutral,HUB,Tianxia
Chenchen,chenchen,3003,Insect,ENT,Mythoria
Ruber,ruber,4016,Fire,HS2,Emberfall
Ludy,ludy,2007,Fire,HS2,Emberfall
Amos,amos,1003,Earth,EDU,Arcadia
Mara,mara,4027,Phantom,UW2,Blackmere
Dochi,dochi,3002,Earth,EDU,Arcadia
Chris,chris,2002,Combat,HUB,Tianxia
Zeki,zeki,2004,Telepath,EDU,Arcadia
Alice,alice,1005,Mystic,UW3,Luxuria
Karen,karen,2003,Ice,HS3,Empyrea
Joel,joel,2009,Lightning,HS2,Emberfall
Eldora,eldora,2008,Earth,EDU,Arcadia
Pavel,pavel,3010,Iron,UW1,Ironhold
Lucy,lucy,1009,Telepath,EDU,Arcadia
Kiki,kiki,3009,Flyer,HS1,Aeropolis
Shaiya,shaiya,2001,Mystic,UW3,Luxuria
Jess,jess,2006,Lightning,HS2,Emberfall
Haeun,haeun,4015,Water,BUS,Porthaven
Parma,parma,4029,Iron,UW1,Ironhold
Chad,chad,2005,Combat,HUB,Tianxia
Kerri,kerri,1006,Water,BUS,Porthaven
Cor,cor,4026,Dragon,UW3,Luxuria
Nami,nami,1010,Water,BUS,Porthaven
Trisha,trisha,1004,Leaf,ENT,Mythoria
Jud,jud,2010,Rock,UW1,Ironhold
Jade,jade,1008,Rock,UW1,Ironhold
Waldo,waldo,1001,Neutral,HUB,Tianxia
Camila,camila,4028,Leaf,ENT,Mythoria
Doto,doto,3004,Toxin,BUS,Porthaven
Choco,choco,3001,Neutral,HUB,Tianxia
